Date,Open,High,Low,Close,Volume
2019-01-02,46.20,46.98,45.94,46.93,11631100
2019-02-01,49.01,49.72,48.89,49.50,10842200
2019-03-01,45.71,46.88,45.52,46.26,14019300
2019-04-01,46.23,48.54,46.22,48.01,11281600
2019-05-01,48.44,49.33,47.07,49.11,13506800
2019-06-03,50.17,52.10,50.05,51.79,10537500
2019-07-01,51.97,53.76,51.80,53.28,10061800
2019-08-01,53.22,55.25,52.56,54.50,10251900
2019-09-03,54.60,55.39,53.56,54.05,10754200
2019-10-01,54.10,55.18,53.38,54.93,9789500
2019-11-01,54.00,54.33,52.07,53.74,11124500
2019-12-02,53.88,55.38,53.56,55.35,10212700
2020-01-02,55.27,59.54,55.02,58.48,12052200
2020-02-03,58.47,60.13,49.70,51.79,17456700
2020-03-02,51.16,57.69,36.27,43.45,23802300
2020-04-01,42.77,48.52,42.26,45.71,16098900
2020-05-01,45.72,47.94,43.91,44.70,13775100
2020-06-01,45.55,49.23,43.41,44.30,14826300
2020-07-01,44.46,50.84,44.36,49.66,12958200
2020-08-03,49.83,51.19,47.01,49.36,10834900
2020-09-01,49.58,51.67,48.05,48.97,13074200
2020-10-01,49.18,51.62,48.26,49.00,12045100
2020-11-02,49.39,52.53,48.01,51.76,14325800
2020-12-01,51.87,54.73,51.32,54.84,11571400
2021-01-04,54.93,55.28,49.24,49.84,14225100
2021-02-01,49.75,52.23,49.46,50.55,12143900
2021-03-01,50.60,53.56,49.54,52.60,14362100
2021-04-01,52.56,55.06,51.71,54.19,10529600
2021-05-03,54.45,56.79,54.18,55.89,9781200
2021-06-01,55.65,56.53,53.88,54.27,11402300
2021-07-01,54.40,57.56,54.25,56.60,10137700
2021-08-02,56.73,57.47,55.05,55.74,9624600
2021-09-01,55.79,57.00,53.01,53.23,12289100
2021-10-01,53.34,55.78,53.06,54.94,10561400
2021-11-01,55.05,57.36,53.62,54.84,12025300
2021-12-01,55.00,59.52,54.79,59.21,10512000
2022-01-03,59.44,61.45,58.36,60.66,11127700
2022-02-01,60.70,64.99,59.62,62.33,11895500
2022-03-01,61.55,62.55,58.83,62.29,12450100
2022-04-01,62.45,66.32,62.00,65.27,10563300
2022-05-02,65.25,66.72,61.41,63.38,12149300
2022-06-01,63.14,64.80,58.92,62.85,12672900
2022-07-01,62.61,65.45,61.29,64.07,10195600
2022-08-01,64.15,65.70,60.92,60.98,10413800
2022-09-01,61.20,64.28,54.02,55.48,15212700
2022-10-03,55.36,60.44,54.34,59.86,14015200
2022-11-01,59.80,63.81,59.68,63.61,11223700
2022-12-01,63.59,64.78,62.02,63.61,10116900
2023-01-03,63.71,62.89,58.94,60.23,12124500
2023-02-01,60.19,62.31,57.83,59.38,11458300
2023-03-01,59.62,62.33,57.43,60.78,12750300
2023-04-03,60.89,64.64,60.18,63.87,10152400
2023-05-01,63.60,64.30,58.56,60.12,11648400
2023-06-01,60.57,63.05,59.45,60.91,10457500
2023-07-03,60.67,63.58,60.19,59.47,11228300
2023-08-01,59.79,61.89,56.07,57.50,12364200
2023-09-01,57.61,60.25,55.65,56.27,13186500
2023-10-02,56.41,57.75,51.55,56.42,14725100
2023-11-01,56.36,59.93,55.71,59.23,11212300
2023-12-01,59.35,60.40,57.30,58.93,10843200
