Date,Open,High,Low,Close,Volume
2019-01-02,108.98,111.51,108.45,110.94,5168400
2019-02-01,111.70,115.56,111.34,114.82,4789300
2019-03-01,115.10,120.45,114.58,120.24,5223600
2019-04-01,120.66,131.52,120.45,129.18,5425600
2019-05-01,129.19,133.63,123.49,129.25,5872100
2019-06-03,129.56,133.44,127.86,131.07,4812200
2019-07-01,131.12,136.69,130.33,131.98,5178300
2019-08-01,132.32,137.63,131.56,135.38,4554200
2019-09-03,135.63,139.07,133.45,136.67,4712800
2019-10-01,136.56,140.44,134.50,137.14,4612500
2019-11-01,137.08,137.64,132.60,136.53,4832400
2019-12-02,136.98,137.28,133.30,136.67,4523900
2020-01-02,135.86,147.20,135.60,141.48,5267300
2020-02-03,141.31,147.20,122.25,124.48,7234800
2020-03-02,124.65,142.80,101.42,117.39,10482600
2020-04-01,117.26,135.89,115.40,133.22,7832100
2020-05-01,133.21,137.28,123.31,131.74,6425200
2020-06-01,132.12,136.03,127.06,131.35,5928300
2020-07-01,131.82,139.55,128.67,138.82,5612700
2020-08-03,139.24,141.92,136.24,137.66,4529800
2020-09-01,137.80,140.27,131.76,137.02,5312600
2020-10-01,137.32,143.87,136.18,139.81,5432100
2020-11-02,140.04,148.47,139.32,146.88,5628900
2020-12-01,147.10,148.39,143.04,148.30,4912300
2021-01-04,148.11,148.30,128.32,131.38,6318200
2021-02-01,131.55,139.43,131.20,134.43,5432800
2021-03-01,134.80,141.87,134.27,140.28,5198600
2021-04-01,140.48,147.64,140.21,144.60,4723100
2021-05-03,145.01,149.59,143.21,147.42,4312500
2021-06-01,147.52,150.38,146.33,148.37,4129300
2021-07-01,148.45,158.23,148.06,155.72,4518700
2021-08-02,156.00,159.63,153.39,154.43,4025600
2021-09-01,154.68,157.71,149.22,150.56,4612300
2021-10-01,150.73,157.50,150.67,157.23,4512800
2021-11-01,157.41,176.24,156.98,172.79,5128300
2021-12-01,173.06,177.23,168.42,173.71,4825100
2022-01-03,174.30,176.12,166.56,172.39,5102300
2022-02-01,172.43,176.78,162.36,168.76,5312400
2022-03-01,168.80,171.56,154.78,166.60,5628100
2022-04-01,167.22,180.34,165.83,175.40,4821300
2022-05-02,175.79,178.21,159.33,167.36,5413700
2022-06-01,166.65,175.07,157.87,171.72,5312400
2022-07-01,171.27,179.92,170.31,177.23,4512300
2022-08-01,177.48,180.50,169.25,170.58,4312500
2022-09-01,170.71,179.63,158.64,163.22,5815200
2022-10-03,163.56,175.70,161.45,174.79,5125100
2022-11-01,174.55,186.80,174.18,185.40,4912300
2022-12-01,185.39,186.16,176.56,180.44,4312800
2023-01-03,180.95,178.21,168.81,172.45,5123700
2023-02-01,172.65,179.48,168.96,174.45,4928300
2023-03-01,174.66,180.41,171.48,177.44,5012500
2023-04-03,178.06,192.38,177.20,189.53,4512300
2023-05-01,189.22,192.67,176.99,184.84,4812800
2023-06-01,185.15,192.42,181.25,185.44,4312500
2023-07-03,186.07,193.28,180.92,183.14,4712800
2023-08-01,183.53,190.56,168.62,171.53,5312400
2023-09-01,171.87,175.38,164.32,168.14,5612300
2023-10-02,168.20,174.48,155.83,168.61,5928100
2023-11-01,168.80,174.52,164.69,172.32,4812500
2023-12-01,172.89,173.97,165.45,169.52,4512800
